,SEMESTER,AGE,GENDER,ADDRESS,FAMILY SIZE,PARENT STATUS,TRAVEL TIME,FAMILY SUPPORT,ACTIVITIES,LANGUAGES,INTERNET,FREETIME,HEALTH,NO OF ABSENCE,NO OF WITHDRAWL,CURRENT CGPA,STUDY TIME,STUDENT JOB,AVG GPA
28,4.0,24.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,5.0,3.0,3.0,1.0,3.0,3.0,0.0,2.33
29,6.0,21.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,4.0,5.0,2.0,2.0,1.0,1.0,1.0,0.0,2.33
30,3.0,21.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,4.0,1.0,5.0,2.0,4.0,2.0,0.0,3.33
31,3.0,19.0,0.0,1.0,1.0,1.0,5.0,1.0,0.0,1.0,2.0,2.0,5.0,3.0,5.0,5.0,4.0,1.0,4.0
32,4.0,23.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,4.0,1.0,2.0,3.0,5.0,1.0,3.0,1.0,1.0
33,7.0,22.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,2.0,3.0,4.0,0.0,4.0,3.0,0.0,1.67
34,2.0,19.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,9.0,2.0,2.0,5.0,0.0,2.33
35,10.0,22.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,4.0,2.0,5.0,3.0,1.0,5.0,0.0,4.0
36,9.0,24.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,2.0,1.0,9.0,4.0,2.0,1.0,0.0,1.33
37,6.0,20.0,0.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,5.0,2.0,3.0,7.0,1.0,5.0,1.0,1.0,3.33
38,4.0,18.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,3.0,3.0,8.0,5.0,1.0,5.0,1.0,1.0
39,6.0,19.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,3.0,3.0,7.0,0.0,5.0,5.0,0.0,1.33
40,9.0,22.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,5.0,6.0,3.0,1.0,3.0,1.0,1.0
41,4.0,20.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,5.0,1.0,1.0,3.67
42,7.0,24.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,3.0,5.0,7.0,2.0,4.0,2.0,1.0,3.33
43,1.0,19.0,1.0,0.0,1.0,1.0,5.0,0.0,1.0,1.0,4.0,5.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0
44,6.0,23.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,4.0,2.0,5.0,1.0,4.0,3.0,4.0,1.0,3.67
45,9.0,21.0,0.0,1.0,1.0,0.0,5.0,0.0,1.0,0.0,2.0,1.0,2.0,3.0,5.0,5.0,1.0,1.0,3.33
46,10.0,22.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0
47,7.0,22.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,3.0,8.0,1.0,2.0,5.0,0.0,3.33
48,5.0,19.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,1.0,2.0,3.0,4.0,6.0,0.0,3.0,3.0,1.0,2.67
49,2.0,18.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,2.0,5.0,9.0,4.0,1.0,5.0,1.0,1.33
50,3.0,18.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0
51,8.0,21.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,4.0,4.0,4.0,5.0,1.0,3.0,4.0,0.0,2.33
52,2.0,23.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,3.0,2.0,5.0,2.0,3.0,4.0,0.0,4.0
53,3.0,22.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,0.0,2.67
54,5.0,23.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,5.0,3.0,3.0,1.0,2.0,2.0,0.0,3.33
55,3.0,18.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,3.0,1.0,3.0,2.0,5.0,4.0,3.0,1.0,3.0
56,7.0,20.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,3.0,1.0,2.0,5.0,0.0,2.0,5.0,0.0,3.33
57,2.0,22.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,5.0,5.0,3.0,9.0,0.0,5.0,1.0,0.0,4.0
58,6.0,24.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,3.0,5.0,1.0,6.0,4.0,1.0,5.0,0.0,3.33
59,1.0,21.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,4.0,2.0,0.0,1.0,4.0,4.0,1.0,1.0
60,9.0,24.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,4.0,4.0,2.0,2.0,1.0,3.0,3.0,1.0,3.0
61,9.0,23.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,4.0,2.0,5.0,4.0,0.0,1.0,5.0,1.0,1.33
62,2.0,19.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,2.0,1.0,5.0,2.0,3.0,4.0,5.0,1.0,3.33
63,9.0,23.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,5.0,5.0,2.0,2.0,0.0,1.67
64,6.0,18.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,3.0,3.0,2.0,0.0,3.0,5.0,2.0,0.0,2.33
65,9.0,19.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,2.0,5.0,4.0,0.0,2.67
66,3.0,21.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,1.0,1.0,5.0,4.0,6.0,5.0,1.0,4.0,0.0,2.33
67,1.0,24.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,0.0,2.0,4.0,4.0,1.0,4.0
68,3.0,19.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,1.0,2.33
69,6.0,24.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,4.0,3.0,3.0,5.0,3.0,2.0,0.0,3.33
70,7.0,19.0,0.0,1.0,1.0,0.0,5.0,0.0,1.0,0.0,2.0,4.0,4.0,6.0,4.0,5.0,3.0,0.0,3.0
71,2.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,7.0,3.0,5.0,4.0,0.0,2.67
72,5.0,22.0,1.0,1.0,1.0,0.0,5.0,0.0,1.0,0.0,5.0,3.0,4.0,2.0,4.0,2.0,1.0,1.0,2.0
73,7.0,18.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,5.0,2.0,4.0,5.0,4.0,0.0,2.67
74,8.0,21.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,9.0,3.0,4.0,4.0,1.0,2.67
75,5.0,24.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,8.0,1.0,3.0,1.0,1.0,1.33
76,2.0,19.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,4.0,3.0,9.0,0.0,1.0,4.0,1.0,2.67
77,9.0,22.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,3.0,1.0,3.0,5.0,0.0,4.0,5.0,1.0,3.67
78,7.0,23.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,9.0,1.0,4.0,4.0,0.0,4.0
79,8.0,19.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,3.0,3.0,9.0,0.0,1.0,2.0,0.0,3.33
80,5.0,22.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,5.0,3.0,3.0,3.0,0.0,1.0,3.0,0.0,2.67
81,9.0,21.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,0.0,4.0
82,2.0,24.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,4.0,1.0,4.0,7.0,5.0,3.0,1.0,0.0,1.33
83,4.0,19.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,3.0,8.0,0.0,4.0,4.0,0.0,4.0
84,8.0,23.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,2.0,5.0,6.0,3.0,1.0,2.0,1.0,3.67
85,7.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,5.0,1.0,3.0,0.0,5.0,5.0,1.0,4.0
86,2.0,24.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,1.0,1.0,2.0,1.0,3.67
87,10.0,22.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,5.0,5.0,9.0,1.0,1.0,5.0,1.0,2.33
88,7.0,20.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,5.0,3.0,1.0,4.0,5.0,1.0,1.0,0.0,3.67
89,4.0,20.0,1.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,3.0,2.0,3.0,5.0,0.0,2.0,2.0,1.0,1.33
90,8.0,23.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0,6.0,5.0,4.0,2.0,0.0,2.67
91,7.0,18.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,0.0,3.0,5.0,2.0,1.0,2.0
92,5.0,22.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,4.0,3.0,1.0,5.0,2.0,1.0,2.0,0.0,2.33
93,3.0,21.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,5.0,1.0,1.0,4.0,5.0,2.0,2.0,1.0,3.0
94,6.0,23.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,4.0,5.0,4.0,8.0,0.0,1.0,1.0,1.0,2.67
95,7.0,18.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,5.0,8.0,1.0,3.0,1.0,0.0,2.67
96,8.0,20.0,1.0,0.0,1.0,0.0,4.0,1.0,1.0,1.0,3.0,4.0,4.0,7.0,5.0,4.0,1.0,0.0,2.0
97,6.0,21.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,5.0,4.0,1.0,9.0,1.0,1.0,1.0,1.0,2.33
98,6.0,22.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,4.0,2.0,0.0,4.0,5.0,2.0,1.0,2.33
99,8.0,22.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,5.0,5.0,4.0,1.0,5.0,4.0,0.0,2.0
100,4.0,19.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,5.0,1.0,8.0,0.0,4.0,4.0,1.0,3.33
101,3.0,23.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,1.0,3.67
102,4.0,20.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,2.0,3.0,3.0,1.0,3.67
103,1.0,20.0,0.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,4.0,1.0,4.0,8.0,4.0,1.0,5.0,1.0,2.67
104,3.0,20.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,2.0,2.0,4.0,0.0,3.0,3.0,2.0,0.0,3.67
105,7.0,18.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,5.0,5.0,3.0,4.0,3.0,5.0,3.0,1.0,2.33
106,1.0,23.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,5.0,4.0,9.0,2.0,2.0,2.0,1.0,3.33
107,3.0,18.0,1.0,0.0,1.0,1.0,5.0,1.0,0.0,1.0,1.0,4.0,4.0,4.0,1.0,3.0,5.0,0.0,3.33
108,5.0,22.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,1.0,2.0,8.0,0.0,2.0,3.0,1.0,2.67
109,8.0,24.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,4.0,5.0,0.0,2.0,1.0,3.0,0.0,3.0
110,1.0,23.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,3.0,4.0,0.0,4.0,4.0,4.0,1.0,3.0
111,3.0,23.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,4.0,1.0,2.0,5.0,4.0,3.0,1.0,2.33
112,10.0,22.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,2.0,5.0,5.0,2.0,1.0,1.0,5.0,0.0,2.33
113,7.0,19.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,0.0,4.0,1.0,1.0,1.33
114,6.0,23.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,3.0,1.0,5.0,1.0,3.0,1.0,3.33
115,7.0,20.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,4.0,0.0,2.33
116,5.0,20.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,3.0,4.0,0.0,4.0
117,2.0,24.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,4.0,3.0,2.0,3.0,4.0,4.0,5.0,1.0,1.33
118,7.0,23.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,4.0,5.0,2.0,3.0,4.0,0.0,4.0
119,10.0,22.0,1.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,4.0,2.0,0.0,1.33
120,7.0,24.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,3.0,2.0,0.0,3.0,2.0,0.0,3.67
121,9.0,20.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,5.0,3.0,4.0,4.0,2.0,1.0,3.0,0.0,3.33
122,4.0,18.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,0.0,3.0
123,8.0,21.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,3.0,4.0,7.0,5.0,2.0,5.0,0.0,1.33
124,1.0,22.0,1.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,5.0,1.0,2.0,7.0,3.0,1.0,5.0,0.0,1.33
125,6.0,21.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,5.0,1.0,3.0,2.0,5.0,2.0,2.0,0.0,4.0
126,10.0,18.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,5.0,4.0,3.0,0.0,0.0,4.0,3.0,1.0,3.67
127,6.0,24.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,0.0,2.33
128,3.0,20.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,3.0,5.0,4.0,3.0,4.0,4.0,0.0,3.67
129,2.0,19.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,5.0,4.0,1.0,3.0,1.0,5.0,5.0,1.0,3.0
130,1.0,21.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,5.0,3.0,3.0,1.0,4.0,1.0,2.0,0.0,2.67
131,2.0,19.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,5.0,3.0,6.0,2.0,3.0,5.0,0.0,3.0
132,2.0,22.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,2.0,4.0,1.0,1.0,4.0
133,10.0,18.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,3.0,8.0,2.0,2.0,5.0,0.0,4.0
134,10.0,24.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,2.33
135,6.0,22.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,0.0,4.0
136,6.0,21.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,1.0,2.0,4.0,4.0,6.0,0.0,5.0,5.0,0.0,3.67
137,2.0,21.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,3.0,4.0,1.0,4.0,5.0,3.0,4.0,0.0,3.33
138,2.0,19.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0,2.0,3.0,3.0,5.0,3.0,5.0,1.0,1.33
139,5.0,20.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,2.0,5.0,6.0,1.0,4.0,5.0,1.0,3.67
140,6.0,22.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,4.0,7.0,1.0,2.0,3.0,0.0,2.33
141,9.0,22.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,3.0,3.0,4.0,1.0,1.0,0.0,3.67
142,9.0,23.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,5.0,2.0,8.0,2.0,2.0,4.0,1.0,2.67
143,9.0,22.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,5.0,2.0,2.0,7.0,2.0,1.0,3.0,0.0,2.33
144,3.0,22.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,0.0,4.0,1.0,2.0,7.0,2.0,5.0,1.0,1.0,1.33
145,4.0,22.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,2.0,5.0,4.0,0.0,2.33
146,3.0,19.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,2.0,4.0,4.0,2.0,5.0,4.0,0.0,3.67
147,4.0,23.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,6.0,2.0,1.0,4.0,0.0,2.0
148,3.0,18.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,3.0,3.0,9.0,4.0,4.0,1.0,1.0,3.0
149,8.0,24.0,1.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,5.0,3.0,2.0,8.0,1.0,4.0,1.0,0.0,3.67
150,3.0,24.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,4.0,2.0,5.0,4.0,2.0,1.0,1.0,2.67
151,5.0,20.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,5.0,5.0,4.0,4.0,4.0,2.0,0.0,3.67
152,6.0,24.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,3.0,4.0,3.0,0.0,3.33
153,2.0,24.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,2.0,0.0,0.0,5.0,1.0,1.0,3.33
154,7.0,22.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,0.0,2.0,4.0,0.0,3.67
155,10.0,20.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,4.0,4.0,2.0,1.0,0.0,1.0,5.0,1.0,2.67
156,10.0,23.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,4.0,3.0,1.0,1.0,3.0
157,2.0,24.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,4.0,4.0,9.0,2.0,3.0,1.0,1.0,2.0
158,4.0,20.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,4.0,3.0,3.0,3.0,4.0,1.0,2.0,1.0,3.0
159,7.0,22.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,4.0,2.0,1.0,0.0,3.0
160,6.0,20.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,4.0,1.0,1.0,0.0,4.0
161,5.0,20.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,4.0,5.0,4.0,0.0,3.33
162,6.0,23.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,0.0,2.0,4.0,5.0,1.0,1.0,2.0,2.0,1.0,4.0
163,1.0,18.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,4.0,4.0,8.0,3.0,3.0,1.0,0.0,3.67
164,8.0,19.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,2.0,2.0,6.0,3.0,2.0,1.0,0.0,3.67
165,6.0,24.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,3.0,1.0,8.0,1.0,5.0,5.0,0.0,4.0
166,9.0,18.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,6.0,3.0,2.0,5.0,0.0,3.67
167,6.0,19.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,3.0,6.0,0.0,1.0,5.0,0.0,4.0
168,1.0,21.0,1.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,4.0,2.0,1.0,8.0,4.0,1.0,4.0,0.0,3.33
169,1.0,21.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0,1.0,4.0,0.0,5.0,4.0,5.0,0.0,3.67
170,10.0,19.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,2.0,7.0,5.0,3.0,3.0,1.0,4.0
171,6.0,19.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,3.0,7.0,5.0,2.0,2.0,0.0,1.0
172,2.0,24.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,5.0,1.0,3.0,3.0,5.0,3.0,2.0,1.0,3.0
173,10.0,21.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,4.0,5.0,2.0,0.0,2.0,4.0,3.0,0.0,2.33
174,5.0,24.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,3.0,3.0,4.0,9.0,0.0,4.0,2.0,0.0,1.67
